name,Latitude,Longitude,crime_weight
"Police Station, Defence Colony",28.564836962826423,77.23288647912746,1.0
Nehru Place Police Station,28.54971275950029,77.25537154299711,1.0
CR Park Police Station,28.536732705789085,77.24939951333924,1.0
Saket Police Station,28.52336519231456,77.20838288263074,1.0
New Friends Colony PS,28.562540696660104,77.26742766330443,1.0
Roop Nagar Police Station,28.68500690567824,77.20216506998251,1.0
Daryaganj Police Station,28.641768187836668,77.24130996611629,1.0
Nishkam Seva Bhawan,28.65666323870944,77.12204225897227,1.0
DCP Shahdara District Office,28.664588423225663,77.28631568662827,1.0
Police Station Timarpur,28.70697792037368,77.22444191393177,1.0
Police Station Paharganj,28.645418105925028,77.20901089424386,1.0
Hazrat Nizamuddin Police Station,28.592253604248043,77.24371847747389,1.0
Police Station Chankyapuri,28.60282503205778,77.19600186563478,1.0
Police Station South Rohini,28.702347192824497,77.11535356063611,1.0
Keshav Puram Police Station,28.68389594122516,77.1595688551717,1.0
Mukherjee Nagar Police Station (Guru Tegh Bahadur Nagar),28.700258186133517,77.2092847320876,1.0
Police Station Connaught Place,28.62985526487248,77.21418607495158,1.0
Welcome Police Station,28.681811067534102,77.27853873537705,1.0
Police Station Tilak Marg,28.61787843260213,77.23550204753158,1.0
Saket Police Station,28.526345565286565,77.21706792059987,1.0
Deputy Commissioner of Police Station South West District,28.55801739167948,77.16899394691178,1.0
Police Station Greater Kailash - 1,28.55434447596201,77.23227524140731,1.0
Jyoti Nagar Police Station,28.696358314456507,77.29112548283986,1.0
Police Station New Ashok Nagar,28.60376320128716,77.32348793355243,1.0
Shakarpur Police Station,28.63740971072116,77.27074445980736,1.0
Police Station Jahangirpuri,28.73370802245621,77.17529209549004,1.0
Aman Vihar Police Station,28.717843593488936,77.06499671796641,1.0
Crime Branch,28.740803491285604,77.13246370492404,1.0
Preet Vihar Police Station,28.639259174941785,77.29541661509799,1.0
kalindi kunj pollice station,28.530662231212247,77.3188002430416,1.0
Police Station Greater Kailash 1,28.546199697099564,77.24312664892548,1.0
Delhi Cantt Police Station,28.59897240867348,77.1240126800851,1.0
Central Reserve Police Force Transit Camp,28.640988583065276,77.22436313950874,1.0
Police Station Model Town,28.702172265938437,77.19362827667925,1.0
Police Station Hauz Qazi,28.649812788699467,77.22579074428974,1.0
Police Station Rajiv Chowk Metro,28.649829702304142,77.22682313378701,1.0
Economic Offences Wing,28.63913583607636,77.20309171210968,1.0
Mandir Marg Police Station,28.6383443,77.2025704,1.0
Mandir Marg Police Station Complex,28.638785169132944,77.20262226464057,1.0
Maurice Nagar Police Station,28.692699173498543,77.20668574566949,1.0
New Ashoka Nagar Police Station Office,28.60289870687599,77.31284784483896,1.0
Integrated Police Booth,28.68863206500681,77.20971786265697,1.0
Pink Booth,28.69180143195744,77.20840958701238,1.0
Police Post,28.72385777798681,77.17561707439455,1.0
Mukherjee Nagar Police Station (Guru Tegh Bahadur Nagar),28.700093229477496,77.20926933476194,1.0
