name,Latitude,Longitude
Surya Laxmi Hospital,28.6322953,77.0499201
Sushila Hospital,28.8596954,77.08365
Sushruta Maternity And Surgical Centre,28.6587906,77.0903999
Sushruta Trauma Centre,28.6797783,77.2283852
Swami Dayanand Hospital,28.67935069,77.30359668
Talwar Medical Centre,28.5363921,77.2441716
Tamish,28.699593,77.1045409
Tarak Hospital India Private Limited,28.619298,77.030036
Taravati Hospital,28.628851,77.300537
The Leprosy Mission Community Hospital,28.69145758,77.31775666
Tibetan Medical and Astro Institute,28.58785492,77.2515415
Tirath Ram Hospital,28.666922,77.3178057
Tirath Ram Shah Hospital,28.6708223,77.2162565
Tondan hospital,28.6664871,77.3207024
Triton Hospital,28.54728099,77.25471783
Triveni Hospital,28.7207367,77.2666955
Tyagi Hospital,28.6912301,77.0902773
Tyagi Hospital,28.7187985,77.1681742
TYGAI DIAGNOSTIC CENTER,28.6913354,77.2913592
UK Nursing Home,28.634107,77.076458
Under Construction Hospital,28.6336658,77.061634
Upchar Nursing Home,28.6975051,77.1772633
Vacant Plot for Hospital C-Block,28.62482212,77.14266042
Vallabh Hospital,28.5323573,77.2659687
Vardaan Hospital,28.5372268,77.2149447
Vardayani Charitable Multi-Speciality Hospital,28.7221086,77.171616
Vashishta Clinics & Hospital,28.5352441,77.2079327
Vasist Hospital,28.701646,77.280317
Vibhu Nursing Home,28.5347579,77.2083916
Vikas Hospital,28.5193612,77.1743007
Vikas Hospital Private Limited,28.610754,76.980957
Vimhans,28.5679777,77.25158641
Vinayak Hospital,28.6985342,77.1870961
Vinod Karhana Hospital,28.712504,77.2626857
Viola Hospital,28.5588756,77.2942198
Virmani Hospital,28.619588,77.3012574
Vishwakarma Hospital,28.6110344,76.9735825
Viswanathan Chest Hospital,28.69069408,77.20973791
Walia Nursing Home,28.63303468,77.28072239
Westend Hospital,28.63876828,77.09594596
White House Hospital,28.7018331,77.2784256
World Brain Center Hospital,28.6121754,77.0886731
Yogmaya Multispeciality Hospital,28.4943274,77.1833094
