name,Latitude,Longitude
Dhanwati Hospital,28.6123667,76.9686781
Dharamshila Hospital,28.60261573,77.31418199
Dharmarth Hospital,28.72203682,77.17564593
Dhruv Hospital,28.6890276,77.0857544
Diabetes & Hormone Clinic,28.535271,77.294414
Dispensary,28.6108799,77.07431096
Dispensary Child Welfare Centre,28.6887375,77.1330548
Divya Prastha Hospital,28.5862424,77.0875445
Diyos,28.5660178,77.1946519
Doctor B.L. Kapoor Memorial Hospital,28.64349967,77.17982643
Doctor Baba Saheb Ambedkar Hospital,28.71401356,77.1137192
Doctor Grover's Nursing Home,28.6284133,77.1469129
Doctors Diagnostic Centre Najafgarh,28.6145619,76.9844782
Dr B R Sur Homoeopathic Medical college and Hospital,28.5862718,77.1684265
Dr BD Attam Hospital and Medical Research Centre,28.6960546,77.1734959
Dr Chaudhry's Moral Hospital,28.7023722,77.2724415
DR CHOPRAS SPINE JOINT SOLUTIONS INDIA - joint replacement doctor in west Delhi,28.6581639,77.1421631
Dr Sarita Jaiswal,28.6026654,77.3140801
Dr Suresh Garg - Eye & Laser Hospital,28.671097,77.110835
Dr. Batra's Clinic,28.5288731,77.2557006
Dr. Indra Hospital,28.7980095,77.0354003
Dr. Meena Indra Hospital,28.7984412,77.0356652
Dr. N. C. Joshi Memorial Hospital,28.6529654,77.1994853
Dr. Rajeev Hospital,28.8006984,77.0353788
Dr. Rakesh Multispeciality Hospital,28.8402532,77.0822963
Dr. Shroff Charity Eye Hospital,28.6459381,77.242051
Dr. Shyama Prasad Mukherjee Chest Hospital,28.6140205,77.2898985
Dr. Sunder Lal Memorial Hospital,28.5063405,77.231747
Dr. Swati Srivastava | Gynecologist in Delhi,28.52918294,77.21375663
DUKH NIWARAN MEDICAL CENTER,28.6865598,77.2902512
Dwarika Medicare & Maternity Centre,28.6148521,77.0490279
Dwarka Heart Centre,28.5995579,77.0436777
Dwarka Hospital,28.6166831,77.0316366
Dwarka New Born and Child Hospital,28.6194069,77.0291453
ECHS Polyclinic Hospital,28.5095465,77.2545063
Ekta Hospital,28.74831,77.1405079
Escorts Heart Institute,28.56016907,77.27371001
ESI,28.61194979,77.0768281
"ESI Hospital, Rohini",28.72792825,77.12577487
ESI TB Hospital,28.735014,77.1401182
ESIC Dispensary-cum-Diagnostic Center,28.60534957,77.29568058
ESIC Hospital,28.5143778,77.2815719
ESIC Hospital,28.7273448,77.126818
Eye Mantra Hospital,28.67869,77.0985133
Family Hospital,28.7013032,77.0983471
Faraz Hospital,28.5464875,77.3005748
Foji Hospital,28.6133491,76.9760625
Fortis Bloom,28.5287785,77.2437938
Fortis C-DOC Hospital,28.5469888,77.2494873
Fortis Hospital,28.51928077,77.16036247
Fortis Hospital,28.70933199,77.17028431
Free Maternity & Child Welfare Centeri,28.6472649,77.2308534
Gahlot Hospital,28.704823,77.043677
Galaxy Hospital,28.65298385,77.2949809
Gamca,28.5703187,77.2369366
Gandhi Hospital,28.6200029,77.0535384
Garg Hospital,28.65315571,77.29494312
Garg Nursing Home,28.6790286,77.157259
Gaudham Cancer Ayurvedic Treatment & Research Center,28.67286,77.130852
Gendox Hospital,28.519682,77.1733997
Genesis Hospital,28.620674,77.08125
Gopal Nursing Home,28.69087555,77.29150085
Gouri Hospital Ltd,28.6796305,77.20819
Government Ayurvedic Hospital,28.6635722,77.1458797
Government Dispensary,28.6705615,77.1511902
